RandNum,DogOrCatOr
0.002127418695,「犬派」
0.0116918293,中立
0.02330211606,中立
0.03087775439,「猫派」
0.05672729476,「犬派」
0.07045473277,中立
0.1069590712,「犬派」
0.1104462301,「猫派」
0.111628175,「犬派」
0.1366447461,「犬派」
0.1481068674,「犬派」
0.1516004877,中立
0.1544302239,中立
0.1571606509,「犬派」
0.1765736983,「犬派」
0.1768987501,「猫派」
0.1788070139,「犬派」
0.1797712496,「犬派」
0.1952563602,「猫派」
0.2032054047,「猫派」
0.204522723,「猫派」
0.2096146999,「犬派」
0.2130520962,「犬派」
0.213274152,「犬派」
0.2145083913,「犬派」
0.2237061809,「犬派」
0.2451451862,「犬派」
0.2509692388,「犬派」
0.2627947859,「猫派」
0.2782790488,「犬派」
0.3145137899,「猫派」
0.3432915151,「猫派」
0.3541703088,中立
0.3665892337,「犬派」
0.3699331343,中立
0.3703071002,「犬派」
0.370846986,中立
0.3990979419,「犬派」
0.4195661337,中立
0.430737249,「犬派」
0.4442109889,「犬派」
0.468117084,「猫派」
0.4701189452,「猫派」
0.4712915387,中立
0.4755911236,「犬派」
0.481938356,「猫派」
0.4903777852,「犬派」
0.5082513392,中立
0.5099246637,「猫派」
0.516742046,「犬派」
0.5361899883,「犬派」
0.548034831,「犬派」
0.5495633027,「犬派」
0.5531565985,「犬派」
0.5602242849,中立
0.5626475451,「犬派」
0.565872931,中立
0.5706208772,中立
0.5766189518,中立
0.577580102,「犬派」
0.5819041309,「犬派」
0.5917693621,中立
0.603317307,「犬派」
0.6044712261,「犬派」
0.6090485901,「犬派」
0.6223977705,「猫派」
0.6243535147,中立
0.6381376418,「猫派」
0.6425377377,「犬派」
0.6645220089,「犬派」
0.6697102833,「猫派」
0.6698070652,「犬派」
0.6741230776,「犬派」
0.6908270734,「犬派」
0.6975616216,「犬派」
0.7003348312,「犬派」
0.7060160797,「猫派」
0.7154064469,「犬派」
0.715585231,「猫派」
0.7174076625,「犬派」
0.7184211173,「犬派」
0.7267608044,「犬派」
0.7779059159,「犬派」
0.7801415212,「犬派」
0.7892569752,「犬派」
0.7926126876,中立
0.8009828118,「猫派」
0.8041492621,「猫派」
0.815296648,「猫派」
0.8222687679,「犬派」
0.8288713325,「犬派」
0.8372678736,中立
0.8415768308,「猫派」
0.8466268313,中立
0.8490709484,中立
0.8514191908,「猫派」
0.8535999761,「犬派」
0.8671030921,「犬派」
0.8822263508,「犬派」
0.8848229043,「犬派」
0.8887572725,「犬派」
0.8938902846,「犬派」
0.8976988564,「犬派」
0.8978212977,中立
0.914233906,「猫派」
0.9330891683,「犬派」
0.9496496941,「猫派」
0.9691836786,「猫派」
0.9786597751,「犬派」
0.9854067944,中立
0.9866553689,「猫派」
0.9869737949,「犬派」
0.9903752154,「犬派」
0.9928164818,「犬派」